12,1213,2,342980.17,16,4,1
12,1263,2,75600,4,3,1
12,1294,2,198800,5,2,1
12,1263,2,1027629.8,34,15,1
12,1233,2,511059.96,14,4,1
15,1537,12,26540,4,1,1
15,1582,72,29248.14,1,1,1
46,4677,33,2166500,72,57,1
46,4643,33,1138268.24,29,18,1
46,4649,33,365971.08,16,5,1
84,8487,33,744781.58,31,21,1
46,4665,33,495114.71,12,9,1
15,1586,12,13390,2,2,1
46,4670,33,457303.8,11,9,1
46,4670,33,439485,13,10,1
84,8487,33,967115.06,25,17,1
46,4680,12,282587.81,10,6,1
46,4680,33,286485,9,6,1
15,1533,12,266026.96,11,8,1
46,4667,33,381790,12,9,1
15,1533,33,86554.51,4,2,1
15,1504,72,150560.02,20,8,1
15,1586,12,250057,29,16,1
15,1533,12,1978600,26,2,0
15,1570,12,2406966,37,7,0
15,1553,12,170220,10,1,0
46,4680,33,521380.95,22,9,1
15,1541,12,436820,14,9,1
15,1574,12,36360,7,5,1
84,8487,33,1157480.27,28,20,1
15,1570,12,112178.75,15,8,1
15,1541,11,5563270.8,36,9,1
15,1582,72,202340.98,11,6,1
84,8487,33,901988,19,13,1
84,7947,12,431518.49,23,16,1
15,1586,12,434004,18,12,1
15,1561,72,99690,4,4,1
15,1555,12,155870,6,6,1
19,1936,14,0,2,1,1
13,138,9,2445349,26,21,1
19,1987,14,1076984.17,33,23,1
19,1909,14,2097701.61,55,33,1
19,1915,14,424703,3,2,1
13,1345,9,527590,24,10,1
12,1285,14,1472000,61,0,0
13,1376,9,81558.5,2,1,1
19,1972,14,1293680,55,23,1
13,1347,9,-47134,1,0,0
13,1395,9,1801522,51,29,1
19,1981,14,601300,13,2,0
13,1322,9,-84224,1,0,0
19,1972,14,-147411,11,0,0
13,1376,9,-98545,1,0,0
19,1918,14,162440.96,7,3,1
13,138,14,558914,36,27,1
19,1954,14,63286,3,2,1
19,1967,14,425565.45,11,10,1
19,1936,14,1470077.29,50,12,1
19,1927,14,29969.75,8,1,0
13,1322,9,170696.05,4,1,1
13,1349,9,782343.5,27,19,1
19,1974,9,173614.4,13,4,1
19,1915,14,109858,9,5,1
19,1909,9,1350850,12,4,1
19,1927,9,122340,3,1,1
19,1931,14,-77973,2,0,0
13,1322,9,27290.2,4,1,1
13,138,9,321370,6,1,0
13,1349,9,624872,18,12,1
19,1918,14,465991,16,7,1
12,1263,9,1373157,36,18,1
13,1322,9,4079846.99,89,51,1
19,1918,14,252569.6,12,5,1
19,1927,9,1820946.41,66,26,1
51,5173,42,403706.64,34,20,1
51,5158,39,382640.03,24,8,1
51,5143,42,3722495.96,229,64,1
51,5143,42,151830,17,14,1
51,5173,42,-9907,5,1,0
51,5158,39,3389413.56,133,22,0
51,5143,42,196410.08,19,17,1
30,3029,42,304079.94,25,11,1
75,7580,42,513380.28,22,3,0
75,7507,42,999482.1,59,31,1
30,3025,42,142799.9,10,4,1
75,7583,42,152970.12,19,14,1
75,7580,42,930489.63,76,10,0
51,5173,42,853689.87,84,61,1
51,5143,42,308780,21,17,1
75,7580,42,414020,24,12,1
51,5165,42,-10170,7,6,1
51,5143,42,1469220,85,58,1
51,5143,42,573047.13,66,47,1
75,7583,42,1732537.58,107,68,1
30,3014,42,273580,16,0,0
22,6120,48,2043160,65,8,0
72,7256,54,179673.86,10,1,0
89,8970,73,4485407.15,69,15,1
22,6181,48,-140460,1,0,0
61,6181,48,-129768,1,0,0
61,6152,48,5405024.7,74,27,1
48,4827,49,999642.75,21,6,1
39,3958,27,742766,6,5,1
72,7218,54,1377520.4,22,11,1
39,3985,27,459035.12,17,7,1
72,7283,54,1122934.14,29,11,1
48,4827,49,2810930,70,0,0
61,6181,48,916077.58,36,13,1
22,6123,48,761790,17,15,1
61,6122,49,200697.8,15,5,1
22,6194,48,-240486,1,0,0
72,7263,54,2046670,56,31,1
39,3915,27,1343804.65,29,14,1
89,8970,73,1935761,50,10,0
89,8990,73,625887.17,25,13,1
39,3936,27,224465.78,16,4,1
48,4876,55,5098258.17,87,20,1
48,4806,35,536340,14,5,1
48,4879,35,659963.3,27,6,1
48,4879,35,458412.98,20,10,1
89,8990,73,300000,3,2,1
48,4892,35,1414399.8,22,15,1
48,4842,35,4659306.3,85,29,1
61,6194,48,1370840,27,4,0
61,6172,49,862245.35,25,9,1
48,4806,35,385150,10,5,1
72,7209,54,1210698.51,44,15,1
72,7247,54,938007.84,43,23,1
89,8990,73,610789.69,26,13,1
72,7247,54,1619550.5,38,15,1
39,3936,27,-2744,2,1,1
72,7247,54,1426100.34,43,25,1
39,3936,27,560190,21,13,1
39,3907,27,1562490,35,5,0
89,8967,73,735689.27,27,23,1
39,3936,27,481738.1,39,14,1
61,6123,48,1055232.81,29,13,1
22,6131,48,827650,26,1,0
49,4979,27,2451960,32,10,1
72,7204,54,294604.5,9,3,1
89,8988,73,1699679.54,63,27,1
